Year,monthly_avg_temp,Month
1950,-3.6819713,1
1950,1.316862,2
1950,4.568749,3
1950,9.167604,4
1950,14.5409,5
1950,19.105503,6
1950,22.71091,7
1950,21.834799,8
1950,17.032558,9
1950,9.283565,10
1950,5.189036,11
1950,2.4075344,12
1951,1.2524652,1
1951,3.3445816,2
1951,4.2724853,3
1951,8.376535,4
1951,13.755007,5
1951,17.268732,6
1951,18.822182,7
1951,20.13247,8
1951,16.911966,9
1951,8.29249,10
1951,7.066003,11
1951,2.0291438,12
1952,-1.2680454,1
1952,-0.700901,2
1952,2.7284617,3
1952,11.631496,4
1952,12.4827585,5
1952,17.678616,6
1952,20.810953,7
1952,22.073689,8
1952,15.372393,9
1952,9.99614,10
1952,3.7142339,11
1952,1.0666689,12
1953,-1.4794092,1
1953,-1.394488,2
1953,1.970412,3
1953,9.932784,4
1953,12.65799,5
1953,17.491545,6
1953,20.308863,7
1953,17.853062,8
1953,15.892502,9
1953,11.680707,10
1953,3.1567492,11
1953,0.44108322,12
1954,-6.0515304,1
1954,-5.2433095,2
1954,5.179371,3
1954,6.9979916,4
1954,12.433177,5
1954,18.729353,6
1954,18.125626,7
1954,18.643263,8
1954,16.531254,9
1954,9.060174,10
1954,3.857689,11
1954,1.8659319,12
1955,1.827043,1
1955,2.336881,2
1955,2.3450122,3
1955,6.04309,4
1955,13.178028,5
1955,16.660337,6
1955,18.403894,7
1955,16.852325,8
1955,14.179726,9
1955,9.893984,10
1955,3.5342195,11
1955,3.4271762,12
1956,0.44225886,1
1956,-8.762201,2
1956,0.25870037,3
1956,8.295216,4
1956,13.223253,5
1956,15.593257,6
1956,19.420746,7
1956,20.061476,8
1956,16.39052,9
1956,9.595625,10
1956,2.3672032,11
1956,-1.6254586,12
1957,-2.9234743,1
1957,3.3910656,2
1957,6.057591,3
1957,8.851775,4
1957,11.052434,5
1957,18.944263,6
1957,19.6422,7
1957,18.232803,8
1957,14.296967,9
1957,9.990008,10
1957,5.6677256,11
1957,0.07997632,12
1958,-1.610372,1
1958,3.3184705,2
1958,-0.3534108,3
1958,6.1876054,4
1958,16.510462,5
1958,16.660952,6
1958,20.032276,7
1958,19.890575,8
1958,14.694833,9
1958,10.29467,10
1958,6.2978005,11
1958,4.0804663,12
1959,-0.9359691,1
1959,-2.2761562,2
1959,7.617684,3
1959,9.428949,4
1959,13.319166,5
1959,16.127096,6
1959,19.22275,7
1959,17.453558,8
1959,13.25251,9
1959,8.35032,10
1959,5.3814516,11
1959,4.4678845,12
1960,-1.8203906,1
1960,1.3401524,2
1960,5.71594,3
1960,8.785142,4
1960,12.582843,5
1960,17.098015,6
1960,17.296762,7
1960,19.158264,8
1960,14.1372595,9
1960,12.356374,10
1960,7.430892,11
1960,4.0649986,12
1961,-1.0884356,1
1961,1.6516948,2
1961,6.1715894,3
1961,12.270122,4
1961,12.322724,5
1961,17.63976,6
1961,18.170677,7
1961,18.81321,8
1961,16.856194,9
1961,12.079671,10
1961,6.605582,11
1961,-0.11580173,12
1962,0.22494021,1
1962,-1.2320064,2
1962,1.1361866,3
1962,9.508116,4
1962,13.8962965,5
1962,15.658097,6
1962,18.612082,7
1962,21.239653,8
1962,15.396028,9
1962,10.648337,10
1962,5.45512,11
1962,-3.1470594,12
1963,-6.6650224,1
1963,-2.7579002,2
1963,1.5649209,3
1963,9.1657505,4
1963,12.942549,5
1963,17.614063,6
1963,19.309925,7
1963,19.46563,8
1963,15.998001,9
1963,9.109435,10
1963,8.636655,11
1963,-2.0202324,12
1964,-6.1179137,1
1964,-1.0285618,2
1964,3.1012337,3
1964,9.060139,4
1964,12.615382,5
1964,17.779453,6
1964,17.567192,7
1964,16.845037,8
1964,13.7406,9
1964,10.26968,10
1964,5.7802095,11
1964,0.526593,12
1965,-0.62503344,1
1965,-5.223781,2
1965,3.527044,3
1965,6.740444,4
1965,11.702731,5
1965,16.369694,6
1965,19.045597,7
1965,16.87127,8
1965,15.212579,9
1965,9.360017,10
1965,4.879617,11
1965,1.8697453,12
1966,-4.274151,1
1966,4.8930316,2
1966,2.378152,3
1966,9.878096,4
1966,13.102315,5
1966,16.63872,6
1966,17.741077,7
1966,17.919172,8
1966,15.346347,9
1966,13.526705,10
1966,4.2151756,11
1966,0.2952942,12
1967,-4.059217,1
1967,0.03444492,2
1967,4.785128,3
1967,7.842601,4
1967,13.853725,5
1967,15.801059,6
1967,19.502148,7
1967,19.268478,8
1967,16.34507,9
1967,12.309505,10
1967,6.0423894,11
1967,-1.1664401,12
1968,-3.1754286,1
1968,2.5557919,2
1968,4.491363,3
1968,11.464926,4
1968,15.065891,5
1968,16.754988,6
1968,18.378334,7
1968,16.759512,8
1968,14.4910755,9
1968,10.331047,10
1968,5.970999,11
1968,-1.7998658,12
1969,-2.162927,1
1969,0.41683987,2
1969,3.1859813,3
1969,8.07938,4
1969,15.954712,5
1969,15.689212,6
1969,17.544312,7
1969,17.53284,8
1969,15.585772,9
1969,9.79612,10
1969,7.7371492,11
1969,-2.8593202,12
1970,0.2550976,1
1970,-0.06826591,2
1970,3.1656542,3
1970,8.487577,4
1970,11.209188,5
1970,17.517542,6
1970,18.199535,7
1970,18.83628,8
1970,14.959895,9
1970,8.772537,10
1970,6.6211386,11
1970,0.60689485,12
1971,0.02422624,1
1971,0.9219622,2
1971,0.8051343,3
1971,10.106847,4
1971,15.2489805,5
1971,16.505695,6
1971,18.69331,7
1971,20.191513,8
1971,12.34435,9
1971,8.469733,10
1971,4.6602325,11
1971,1.3715972,12
1972,0.03374392,1
1972,3.4440308,2
1972,7.0910645,3
1972,9.765466,4
1972,13.512656,5
1972,18.094631,6
1972,18.729988,7
1972,17.449404,8
1972,12.128015,9
1972,7.07996,10
1972,5.0427995,11
1972,0.7926324,12
1973,-0.124990836,1
1973,0.80369884,2
1973,2.457688,3
1973,6.4609237,4
1973,14.518393,5
1973,17.025854,6
1973,18.656986,7
1973,18.289988,8
1973,16.110937,9
1973,9.320747,10
1973,2.58529,11
1973,0.019583566,12
1974,1.2252567,1
1974,3.9268816,2
1974,6.4080906,3
1974,7.432898,4
1974,12.109093,5
1974,15.618393,6
1974,18.189783,7
1974,19.558834,8
1974,15.535409,9
1974,6.581953,10
1974,4.3551803,11
1974,0.9935625,12
1975,0.46772152,1
1975,-0.5693957,2
1975,6.18777,3
1975,8.807038,4
1975,14.379256,5
1975,16.099272,6
1975,18.523214,7
1975,17.332659,8
1975,17.087042,9
1975,9.218411,10
1975,3.8782334,11
1975,1.5839852,12
1976,-0.5036919,1
1976,-0.07619219,2
1976,1.5405979,3
1976,8.440588,4
1976,13.275908,5
1976,15.643598,6
1976,18.405867,7
1976,15.023432,8
1976,13.142381,9
1976,11.144674,10
1976,5.51619,11
1976,0.6387139,12
1977,1.9639122,1
1977,4.788777,2
1977,7.917986,3
1977,8.0474825,4
1977,14.042504,5
1977,16.763224,6
1977,18.725712,7
1977,18.083944,8
1977,12.71429,9
1977,10.502781,10
1977,5.62568,11
1977,-1.7521689,12
1978,-0.46053675,1
1978,0.36483547,2
1978,5.057772,3
1978,7.745776,4
1978,11.649531,5
1978,16.312773,6
1978,17.742624,7
1978,17.501997,8
1978,13.180151,9
1978,9.044708,10
1978,1.9473082,11
1978,1.7116557,12
1979,-2.3426294,1
1979,2.2392788,2
1979,6.5400677,3
1979,7.1661773,4
1979,13.849745,5
1979,18.490688,6
1979,17.617737,7
1979,17.166874,8
1979,14.683457,9
1979,9.088928,10
1979,5.2858005,11
1979,3.6842592,12
1980,-2.6235864,1
1980,1.3686633,2
1980,4.3396974,3
1980,5.8917065,4
1980,10.834384,5
1980,16.25858,6
1980,18.060465,7
1980,18.689426,8
1980,14.999441,9
1980,10.449864,10
1980,4.5622854,11
1980,-1.6858088,12
1981,-4.3198347,1
1981,-0.79473513,2
1981,7.0536304,3
1981,8.9972105,4
1981,13.48303,5
1981,17.649164,6
1981,17.839542,7
1981,18.29448,8
1981,15.403845,9
1981,11.74277,10
1981,2.493068,11
1981,0.7373951,12
1982,-1.2088144,1
1982,-0.7253551,2
1982,3.5878787,3
1982,6.5478477,4
1982,14.327495,5
1982,18.391483,6
1982,19.219309,7
1982,18.827345,8
1982,18.09317,9
1982,11.343764,10
1982,5.0343924,11
1982,3.3205445,12
1983,1.3117212,1
1983,-1.6246382,2
1983,5.5427337,3
1983,10.958559,4
1983,15.331273,5
1983,16.12829,6
1983,20.171581,7
1983,18.547312,8
1983,14.927434,9
1983,9.63263,10
1983,2.1505117,11
1983,0.13299562,12
1984,0.2053802,1
1984,-0.33629024,2
1984,3.2344613,3
1984,7.8782983,4
1984,12.906204,5
1984,15.7338915,6
1984,17.895117,7
1984,17.368332,8
1984,15.101213,9
1984,11.740384,10
1984,5.839699,11
1984,0.7517312,12
1985,-4.742451,1
1985,-3.290163,2
1985,4.3735204,3
1985,9.232167,4
1985,15.276857,5
1985,15.741933,6
1985,19.69914,7
1985,19.69387,8
1985,15.578145,9
1985,9.587528,10
1985,4.179173,11
1985,3.380344,12
1986,0.13512866,1
1986,-2.2229562,2
1986,4.1052475,3
1986,10.476075,4
1986,15.949624,5
1986,15.956208,6
1986,17.479988,7
1986,19.77114,8
1986,14.907506,9
1986,9.99079,10
1986,4.8040833,11
1986,-0.8287594,12
1987,-3.0722668,1
1987,1.2924742,2
1987,-0.40669957,3
1987,8.879451,4
1987,11.891262,5
1987,17.006458,6
1987,20.836494,7
1987,18.292873,8
1987,18.661009,9
1987,11.483082,10
1987,5.648174,11
1987,1.1620866,12
1988,2.5606213,1
1988,2.4031873,2
1988,3.2258236,3
1988,8.82853,4
1988,14.214789,5
1988,16.41779,6
1988,21.60232,7
1988,20.429142,8
1988,15.248513,9
1988,10.537943,10
1988,0.05385749,11
1988,0.3264888,12
1989,-0.5987593,1
1989,3.7370443,2
1989,7.754672,3
1989,10.799572,4
1989,12.4047165,5
1989,15.111505,6
1989,18.911299,7
1989,18.340185,8
1989,14.86872,9
1989,9.591378,10
1989,3.5308611,11
1989,1.5742213,12
1990,0.24751812,1
1990,5.080856,2
1990,7.724359,3
1990,8.393728,4
1990,13.760645,5
1990,16.775375,6
1990,18.63698,7
1990,18.801847,8
1990,13.575669,9
1990,11.79191,10
1990,6.3677235,11
1990,-0.5352162,12
1991,-0.3105412,1
1991,-2.12502,2
1991,7.177053,3
1991,6.6868477,4
1991,9.9164915,5
1991,17.336426,6
1991,19.37868,7
1991,18.434093,8
1991,16.139355,9
1991,8.605817,10
1991,5.5750155,11
1991,-2.704557,12
1992,-0.83121794,1
1992,1.1345435,2
1992,5.22487,3
1992,9.21471,4
1992,13.585849,5
1992,16.549267,6
1992,18.562504,7
1992,22.101812,8
1992,15.429669,9
1992,10.726332,10
1992,5.932621,11
1992,-0.05510978,12
1993,-0.49775717,1
1993,-1.5761156,2
1993,2.452955,3
1993,9.303775,4
1993,15.240122,5
1993,17.439291,6
1993,18.919136,7
1993,19.677496,8
1993,14.875494,9
1993,11.65061,10
1993,2.0987647,11
1993,2.2346482,12
1994,1.2430959,1
1994,0.046352293,2
1994,7.367252,3
1994,8.842853,4
1994,14.253774,5
1994,17.329346,6
1994,20.352589,7
1994,21.062391,8
1994,17.747692,9
1994,9.540442,10
1994,6.765091,11
1994,1.7749536,12
1995,-1.3385139,1
1995,4.284008,2
1995,3.552244,3
1995,8.399577,4
1995,13.079622,5
1995,16.462952,6
1995,20.833412,7
1995,17.70443,8
1995,13.634177,9
1995,10.9488,10
1995,2.598854,11
1995,2.1698833,12
1996,-0.13972075,1
1996,-2.5318222,2
1996,0.7246393,3
1996,8.511933,4
1996,15.039036,5
1996,18.184622,6
1996,18.351536,7
1996,18.889446,8
1996,11.865333,9
1996,10.07081,10
1996,6.821884,11
1996,-0.510065,12
1997,0.8534475,1
1997,2.5825887,2
1997,4.859753,3
1997,4.629016,4
1997,14.479558,5
1997,18.307081,6
1997,18.556839,7
1997,18.00905,8
1997,15.049762,9
1997,8.02347,10
1997,6.070945,11
1997,2.1625457,12
1998,1.7980967,1
1998,2.9503126,2
1998,2.9656115,3
1998,10.429543,4
1998,13.413443,5
1998,18.78601,6
1998,20.693735,7
1998,20.283693,8
1998,14.7126,9
1998,11.387101,10
1998,2.7961576,11
1998,-3.0732589,12
1999,0.43421528,1
1999,-0.6729013,2
1999,5.5986094,3
1999,9.953876,4
1999,15.147544,5
1999,18.02354,6
1999,19.437666,7
1999,19.86803,8
1999,16.831932,9
1999,11.194438,10
1999,4.088679,11
1999,1.0607498,12
2000,-2.8089921,1
2000,1.8866243,2
2000,4.7527575,3
2000,11.957406,4
2000,15.903124,5
2000,18.955194,6
2000,19.572552,7
2000,21.695032,8
2000,15.1961,9
2000,12.583849,10
2000,9.128043,11
2000,3.4594252,12
2001,2.781576,1
2001,2.549963,2
2001,9.026889,3
2001,8.652163,4
2001,15.3904915,5
2001,16.191153,6
2001,19.848146,7
2001,20.548008,8
2001,13.260235,9
2001,13.015713,10
2001,3.0227022,11
2001,-3.1980171,12
2002,-1.2832025,1
2002,5.103331,2
2002,7.516868,3
2002,9.193828,4
2002,15.544363,5
2002,19.101482,6
2002,20.301352,7
2002,18.86414,8
2002,13.690657,9
2002,10.9141865,10
2002,8.814176,11
2002,1.818656,12
2003,-0.412003,1
2003,-3.456731,2
2003,4.71043,3
2003,8.543488,4
2003,17.17016,5
2003,21.134197,6
2003,20.82304,7
2003,22.65693,8
2003,14.658001,9
2003,8.971605,10
2003,7.6886044,11
2003,1.2811391,12
2004,-1.2628555,1
2004,1.5465426,2
2004,4.443052,3
2004,10.26912,4
2004,12.312504,5
2004,17.584751,6
2004,19.90825,7
2004,19.33473,8
2004,14.904137,9
2004,13.252017,10
2004,4.98563,11
2004,2.6923735,12
2005,-0.40901172,1
2005,-2.8422115,2
2005,2.915623,3
2005,9.292863,4
2005,14.701325,5
2005,17.138134,6
2005,19.734697,7
2005,17.698723,8
2005,15.571229,9
2005,10.69108,10
2005,4.879317,11
2005,0.73320657,12
2006,-1.7062751,1
2006,0.6824904,2
2006,3.8557951,3
2006,10.544009,4
2006,14.31994,5
2006,17.512974,6
2006,20.320694,7
2006,17.886368,8
2006,16.128916,9
2006,12.236685,10
2006,5.9733057,11
2006,2.6399062,12
2007,4.195623,1
2007,5.2124844,2
2007,7.1365376,3
2007,11.840399,4
2007,15.615989,5
2007,19.73476,6
2007,21.696287,7
2007,20.733463,8
2007,13.320782,9
2007,9.269172,10
2007,3.0470743,11
2007,-0.29960328,12
2008,2.1954994,1
2008,3.7703235,2
2008,5.865532,3
2008,10.207282,4
2008,15.275692,5
2008,19.052462,6
2008,19.965672,7
2008,20.388426,8
2008,13.995811,9
2008,11.866906,10
2008,6.5179205,11
2008,2.972795,12
2009,-0.8780019,1
2009,0.7964697,2
2009,4.8629055,3
2009,11.874656,4
2009,16.187496,5
2009,17.450096,6
2009,20.845907,7
2009,20.8229,8
2009,16.940825,9
2009,9.78357,10
2009,7.229193,11
2009,2.693496,12
2010,-0.31611952,1
2010,1.2371426,2
2010,4.8898573,3
2010,10.2083645,4
2010,14.017998,5
2010,18.144127,6
2010,20.789381,7
2010,20.545626,8
2010,14.612607,9
2010,8.680763,10
2010,8.371166,11
2010,0.69811463,12
2011,0.43521374,1
2011,0.85252064,2
2011,5.0372744,3
2011,10.992942,4
2011,14.022696,5
2011,18.537369,6
2011,20.399607,7
2011,21.511646,8
2011,19.074942,9
2011,9.708827,10
2011,4.0725775,11
2011,2.6324909,12
2012,-0.41796035,1
2012,-4.338111,2
2012,7.1312885,3
2012,9.950224,4
2012,13.769122,5
2012,20.462082,6
2012,22.638866,7
2012,22.46459,8
2012,17.465878,9
2012,12.014905,10
2012,8.759065,11
2012,0.31072518,12
2013,2.0060363,1
2013,1.4794171,2
2013,4.593883,3
2013,11.57677,4
2013,14.384411,5
2013,17.712555,6
2013,20.338028,7
2013,21.194637,8
2013,15.26025,9
2013,12.468862,10
2013,7.0792108,11
2013,2.0256634,12
2014,4.4724183,1
2014,6.000336,2
2014,7.7902822,3
2014,10.491688,4
2014,13.353996,5
2014,17.72826,6
2014,19.287157,7
2014,19.20039,8
2014,15.020438,9
2014,12.008763,10
2014,8.493956,11
2014,2.8750365,12
2015,1.401316,1
2015,1.363487,2
2015,5.196707,3
2015,9.114117,4
2015,15.356191,5
2015,18.012945,6
2015,22.583551,7
2015,21.61481,8
2015,16.665804,9
2015,10.934682,10
2015,6.6718345,11
2015,2.7036946,12
2016,1.3489945,1
2016,6.07428,2
2016,5.96948,3
2016,11.857171,4
2016,13.6838455,5
2016,18.74619,6
2016,20.875313,7
2016,18.620457,8
2016,15.70654,9
2016,9.602688,10
2016,6.0419416,11
2016,0.4487658,12
2017,-5.3370385,1
2017,4.123951,2
2017,8.261843,3
2017,9.096214,4
2017,14.857627,5
2017,19.875368,6
2017,21.342407,7
2017,22.056456,8
2017,14.790462,9
2017,10.723301,10
2017,5.4039693,11
2017,2.1268597,12
2018,3.3588223,1
2018,-0.1174467,2
2018,4.2581344,3
2018,14.013456,4
2018,16.643435,5
2018,18.18866,6
2018,19.91128,7
2018,20.8168,8
2018,16.207767,9
2018,12.625054,10
2018,7.196172,11
2018,1.1085681,12
2019,-1.062512,1
2019,3.1708038,2
2019,7.5098386,3
2019,10.549714,4
2019,11.616507,5
2019,20.562372,6
2019,20.414045,7
2019,21.595282,8
2019,16.164406,9
2019,12.575237,10
2019,9.616618,11
2019,3.7108393,12
2020,1.0189918,1
2020,5.0163894,2
2020,6.080514,3
2020,10.491517,4
2020,13.616991,5
2020,17.463856,6
2020,19.861963,7
2020,21.03347,8
2020,17.082176,9
2020,11.354411,10
2020,6.0864,11
2020,4.2726507,12
2021,0.8631992,1
2021,4.565107,2
2021,4.52452,3
2021,7.5486712,4
2021,13.861934,5
2021,20.020605,6
2021,22.259779,7
2021,20.480637,8
2021,16.239923,9
2021,9.031464,10
2021,7.009349,11
2021,2.7198038,12
2022,0.5429775,1
2022,4.0649548,2
2022,4.407126,3
2022,9.10121,4
2022,16.328402,5
2022,21.166704,6
2022,21.793085,7
2022,20.874363,8
2022,15.323594,9
2022,13.283895,10
2022,7.425586,11
2022,5.3394685,12
2023,3.1779518,1
2023,2.2174978,2
2023,6.9882545,3
2023,8.634249,4
2023,14.505079,5
2023,18.477032,6
2023,22.41166,7
2023,21.015497,8
2023,18.705708,9
2023,14.785691,10
2023,7.2274833,11
2023,4.934084,12
2024,2.2406917,1
2024,7.735471,2
2024,9.3137045,3
2024,12.454977,4
2024,15.763615,5
2024,20.995285,6
2024,23.27465,7
2024,23.682255,8
2024,16.600393,9
2024,13.368897,10
2024,4.974775,11
2024,2.2383707,12
